Name,Lat,Lng
"Mapastepec, Guerrero",15.4329682,-92.8978399
"Santiago Suchilquitongo, Oaxaca",17.249783,-96.8726295
"San Felipe Tejalapam, Veracruz De Ignacio De La Llave",17.1100262,-96.85396740000002
"Pueblo Nuevo Solistahuacan, Mexico",17.1578347,-92.8996804
"Calvillo, Coahuila De Zaragoza",21.8468345,-102.7186454
"Matamoros, Chihuahua",26.7619952,-105.5866689
"Sunuapa, Mexico",17.4901243,-93.2423498
"Jiquipilas, Guanajuato",16.66914,-93.6480054
"Yajalon, Michoacan De Ocampo",17.1734888,-92.32955799999999
"Rincon De Romos, Colima",22.2272981,-102.327029
"San Buenaventura, Tlaxcala",19.3251794,-98.2199308
"San Ildefonso Sola, Veracruz De Ignacio De La Llave",16.5192717,-96.98257819999999
"Morelos, Hidalgo",20.798274,-99.2697889
"Nadadores, Guerrero",27.027067,-101.590899
"Zaragoza, Chihuahua",30.1841666,-108.3277777
"San Francisco Cajonos, Veracruz De Ignacio De La Llave",17.1722291,-96.250976
"Jiquipilas, Zacatecas",16.66914,-93.6480054
"Nadadores, Guanajuato",21.1095234,-101.6375588
"Lamadrid, Tlaxcala",27.0505964,-101.7932329
"Piedras Negras, Tlaxcala",19.501172,-98.05693699999999
"Parras, Jalisco",20.639326,-103.312858
"Sabinas, Morelos",26.4858806,-100.185384
"Rincon De Romos, Quintana Roo",22.2289132,-102.3206187
"Teopisca, Jalisco",16.5414817,-92.47262119999999
"San Jorge Nuchita, Puebla",17.656063,-98.10754639999999
"Aldama, Puebla",19.0491279,-98.1787593
"El Llano, Nuevo Leon",25.2319444,-99.7333333
"San Francisco De Los Romo, Morelos",22.0729685,-102.2753071
"Torreon, Guerrero",25.5391667,-103.4497222
"Saltillo, Morelos",25.4118406,-100.9446751
"Zaragoza, Veracruz De Ignacio De La Llave",17.881111,-94.960556
"El Porvenir, Guerrero",16.7763887,-99.1949999
"Tapachula, Yucatan",14.9055567,-92.26341359999999
"Calvillo, San Luis Potosi",22.1393524,-100.991983
"Matamoros, Queretaro",20.5929137,-100.3951164
"San Juan De Sabinas, Michoacan De Ocampo",27.9270787,-101.3023954
"Asientos, Tlaxcala",19.2661771,-98.1985716
"Ixtacomitan, Mexico",17.4295464,-93.0973264
"Calvillo, Tlaxcala",21.8468345,-102.7186454
"Viesca, Tlaxcala",25.3453848,-102.8083503
"La Independencia, Tlaxcala",19.3283134,-98.22552660000001
"San Juan Comaltepec, Veracruz De Ignacio De La Llave",17.3364946,-95.9773093
"Santiago El Pinar, Mexico",16.9400579,-92.71454349999999
"Sacramento, Tlaxcala",38.5815719,-121.4943996
"San Pedro, Nuevo Leon",25.6797838,-100.4168299
"Tonala, Chiapas",16.0869461,-93.7612856
"Morelos, Yucatan",19.7485675,-88.706081
"Osumacinta, Jalisco",20.6565006,-103.331949
"San Francisco Del Mar, Veracruz De Ignacio De La Llave",16.3394296,-94.5160396
"Tepezala, Morelos",19.023151,-99.25994
